layer,neuron,max_corr,mean_corr,min_corr,max_baseline,min_baseline,mean_baseline,w_in_norm,input_bias,w_out_norm,in_out_sim,l2_penalty,mean,var,skew,kurt,vocab_mean,vocab_var,vocab_skew,vocab_kurt,sparsity
1,1518,0.8003,0.6646,0.555,0.1268,0.09814,0.1161,0.3995424,-0.65660733,0.5104553,-0.5375801,0.4201987426958499,-1.0592982,1.0096883,-0.19579466,1.656305,0.00031324712,0.0004666942,0.006192269,2.9881911,0.24986428
1,1369,0.792,0.748,0.7227,0.1437,0.13,0.1375,0.367189,-0.5403874,0.5272036,-0.5581365,0.41277139757396,-0.99431586,0.86617035,-0.12607224,1.6592354,0.0004388168,0.00040616014,-0.12951249,2.9673295,0.25150448
4,420,0.4746,0.404,0.3452,0.2527,0.1978,0.2245,0.54733354,-0.84438217,0.63647634,-0.59715414,0.7046761353887272,-1.4966571,1.0400616,0.346448,1.6762679,0.0010073622,0.001558281,-0.16288358,2.92881,0.12196139
2,2954,0.927,0.742,0.58,0.1434,0.1342,0.1403,0.23613177,-0.20879629,0.6716569,-0.58103573,0.506881204120943,-0.9008787,0.6194659,-0.1962687,1.6765281,-0.00017683035,0.00059096457,-0.0140726315,3.081974,0.2195203
11,2110,0.764,0.7373,0.718,0.4338,0.3818,0.4072,0.5628012,0.06118665,0.6970517,0.4336442,0.8026262631943302,-0.41887322,1.4001908,0.15085532,1.6817186,-0.0053799297,0.010027413,-0.4433215,1.5345143,0.44689503
2,193,0.8696,0.798,0.687,0.1929,0.142,0.1714,0.24400146,-0.18758264,0.4487967,-0.3933624,0.2609551904130216,-0.9090184,0.5735641,0.06922451,1.6835755,-0.0001348922,0.0006412269,-0.05401698,3.0206666,0.21759418
5,262,0.9224,0.8105,0.734,0.2793,0.2317,0.2646,0.36083546,-0.7059046,0.49748424,-0.26328525,0.3776927982417892,-1.7195653,1.4236009,0.30429572,1.6849823,0.00070149975,0.0013425488,0.13355252,3.4985802,0.11469635
2,449,0.628,0.543,0.4475,0.311,0.259,0.285,0.57825595,-0.8764633,0.7105984,-0.7448362,0.8393300297929625,-1.5000925,1.1877108,0.5016431,1.6861135,-0.00032385837,0.0029026775,-1.7100902,7.4005885,0.16672643
0,1064,0.9,0.854,0.784,0.4602,0.3345,0.378,0.24957085,-1.1379081,0.8072766,-0.5242525,0.7139811180772825,-0.49252594,1.1071333,-0.43132657,1.6920276,-0.00043783066,0.00043558332,0.40784812,4.784545,0.5025939
2,1386,0.85,0.7456,0.598,0.1748,0.1373,0.149,0.22382493,-0.23109725,0.77198726,-0.52552086,0.6460619288918124,-0.8805393,0.58652276,-0.0870206,1.6967884,-3.2453467e-05,0.00057882746,-0.025918871,3.0445728,0.23011033
