,layer,neuron,max_corr,min_corr,max_baseline,min_baseline,excess_corr,input_weight_norm,input_bias,output_weight_norm,in_out_sim,weight_norm_penalty,mean,var,skew,kurt,vocab_mean,vocab_var,vocab_skew,vocab_kurt,sparsity
12618,4,330,0.895,0.7715,0.1384,0.1279,0.633,0.83015263,-0.89453775,0.6175244,0.44257954,1.0704897736912768,-2.2977667,0.62032396,0.8775753,6.636161,-0.0005463734,0.001250406,0.061490595,3.1174984,0.01010023
12807,4,519,0.78,0.6406,0.1307,0.1233,0.51,0.66938573,-0.90375614,0.41744712,0.10635488,0.6223393535239273,-2.1399786,0.5354465,0.68818164,4.582348,0.00085943396,0.0013124571,0.0018827117,2.9855645,0.012177402
13037,4,749,0.788,0.6807,0.1389,0.127,0.542,0.77600205,-0.601385,0.43286642,0.15286732,0.7895525191678189,-1.5166985,0.40218365,0.55365723,5.3614507,0.00027165835,0.0011560298,0.00241095,3.0484116,0.023598146
13053,4,765,0.7915,0.5903,0.0628,0.05658,0.5273,1.0216811,-1.6837192,0.876246,0.18901123,1.8116393226132097,-3.8837492,0.95570636,0.3705466,3.8867576,0.0001468424,0.0011776314,-0.023229113,2.9967883,0.0013034355
13394,4,1106,0.796,0.7417,0.1943,0.1708,0.5474,0.7021968,-0.83728546,0.5488085,0.41074425,0.79427111560249,-1.6162446,0.4417437,0.8626663,6.3205647,-0.0006342667,0.0012490071,0.0499209,2.940181,0.017515117
13422,4,1134,0.811,0.7197,0.1407,0.11835,0.579,0.7681474,-0.9846922,0.5429503,0.3347093,0.88484545639685,-2.0498128,0.39309305,0.58907783,6.9530334,-0.00013499332,0.0011896491,0.0862732,3.036196,0.0047511137
13536,4,1248,0.8394,0.813,0.1906,0.1323,0.6226,0.74487543,-0.71257865,0.41937256,0.306024,0.7307127502986385,-1.6301593,0.4016494,0.843176,6.927582,0.0013822779,0.0022631804,0.60935265,3.4761178,0.015788827
13570,4,1282,0.769,0.6763,0.1028,0.0784,0.573,0.7608627,-1.2329111,0.80179214,-0.42517012,1.2217826840170698,-2.7870228,0.41664252,0.3491404,7.255054,-0.00029497556,0.0012061547,-0.11380623,3.3051066,0.0035095091
13697,4,1409,0.8247,0.797,0.1843,0.1637,0.6123,0.780768,-0.91936386,0.48139554,0.275164,0.8413403357558916,-1.993973,0.8490598,0.15923703,4.54161,-1.8845774e-06,0.0011336589,0.03532589,3.093044,0.01518509
13810,4,1522,0.802,0.7056,0.188,0.176,0.5176,0.69696087,-0.7970678,0.5829449,-0.020452874,0.8255792107471669,-2.1261485,0.69092166,1.3807575,5.776468,0.00055460667,0.0015035667,-0.09091226,3.0423665,0.03868129
